Registers with different behaviour
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xe542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xe642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xe742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xe842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xe942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xea42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xeb42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xec42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xed42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xee42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xef42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xf042
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xf142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xf242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xf342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xf442
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xf542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xf642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xf742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xf842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xf942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xfa42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xfb42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xfc42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xfd42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xfe42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xff42
Registers with ack error and different behaviour
Registers with exception
